event_key,match_count
2026nyro,99
2026azfg,98
2026code,98
2026brsp,97
2026alhu,95
2026nysu,95
2026nytr,95
2026flwp,94
2026mnum,94
2026flor,93
2026mndu,93
2026mndu2,93
2026mxto,93
2026ndgf,93
2026tnkn,93
2026mnmi,92
2026mnmi2,92
2026ohcl,92
2026okok,92
2026oktu,92
2026mnwi,91
2026mokc,91
2026ohmv,91
2026nvlv,90
2026bcvi,89
2026brba,87
2026iacf,87
2026mxmo,87
2026nyli2,87
2026lake,86
2026utwv,86
2026ausc,85
2026idbo,85
2026ksla,84
2026mosl,84
2026mslr,84
2026flta,83
2026nyny,83
2026cosp,82
2026mose,82
2026paca,82
2026qcmo,82
2026tuis2,81
2026tuis3,81
2026nyn2,80
2026tuis,79
2026ilpe,78
2026tuis4,78
2026tuak,77
2026tuak2,76
2026hiho,75
2026tuis5,75
2026cnsh,74
2026ilch,74
2026tuhc,66
2026arli,65
